file_num,picFile,cat,type,mean_label,mean_sound,zLabel,zSound
baby_pic_3.jpg,baby_pic_both,baby,both,4.761904761904762,4.4,0.6719063479513999,1.0318389624972093
baby_pic_4.jpg,baby_pic_label,baby,label,4.809523809523809,2.25,0.7343004371401541,-0.9615302050376455
baby_pic_6.jpg,baby_pic_neither,baby,neither,3.0952380952380953,1.95,-1.511886773655006,-1.239674740042509
baby_pic_8.jpg,baby_pic_sound,baby,sound,4.75,4.533333333333333,0.6563078256542114,1.1554587558327036
bee_pic_1.jpg,bee_pic_label,bee,label,4.857142857142857,3.7,0.7966945263289084,0.38283504748586117
bee_pic_4.jpg,bee_pic_both,bee,both,4.809523809523809,4.55,0.7343004371401541,1.1709112299996405
bee_pic_5.jpg,bee_pic_neither,bee,neither,4.142857142857143,2.65,-0.13921681150240744,-0.5906708250311611
bee_pic_9.jpg,bee_pic_sound,bee,sound,4.166666666666667,4.2,-0.10801976690803033,0.8464092724939669
bird_pic_12.jpg,bird_pic_neither,bird,neither,3.1904761904761907,1.75,-1.3870985952774968,-1.4251044300457512
bird_pic_13.jpg,bird_pic_label,bird,label,4.571428571428571,1.55,0.4223299911963818,-1.6105341200489935
bird_pic_14.jpg,bird_pic_sound,bird,sound,4.833333333333333,4.666666666666667,0.7654974817345312,1.279078549168199
bird_pic_8.jpg,bird_pic_both,bird,both,5.0,4.3,0.9838767938951722,0.9391241174955877
bowling_pic_1.jpg,bowling_pic_label,bowling,label,5.0,1.7,0.9838767938951722,-1.471461852546562
bowling_pic_15.jpg,bowling_pic_both,bowling,both,3.9166666666666665,4.266666666666667,-0.4355887351489918,0.9082191691617141
bowling_pic_2.jpg,bowling_pic_neither,bowling,neither,3.4761904761904763,3.0,-1.0127340601449701,-0.26616886752548696
bowling_pic_8.jpg,bowling_pic_sound,bowling,sound,3.761904761904762,4.55,-0.6383695250124437,1.1709112299996405
car_pic_2.jpg,car_pic_label,car,label,4.9523809523809526,2.6,0.921482704706418,-0.6370282475319714
car_pic_3.jpg,car_pic_sound,car,sound,2.619047619047619,4.8,-2.1358276655425508,1.4026983425036934
car_pic_8.jpg,car_pic_both,car,both,4.833333333333333,3.1333333333333333,0.7654974817345312,-0.14254907418999213
car_pic_9.jpg,car_pic_neither,car,neither,2.5833333333333335,1.3333333333333333,-2.1826232324341164,-1.8114162842191728
cat_pic_10.jpg,cat_pic_neither,cat,neither,2.761904761904762,1.65,-1.9486453979762872,-1.5178192750473725
cat_pic_2.jpg,cat_pic_label,cat,label,4.9523809523809526,3.3,0.921482704706418,0.01197566747937629
cat_pic_7.jpg,cat_pic_sound,cat,sound,4.238095238095238,3.95,-0.01442863312489898,0.614622159989914
cat_pic_9.jpg,cat_pic_both,cat,both,4.9523809523809526,4.6,0.921482704706418,1.217268652500451
chain_pic_10.jpg,chain_pic_label,chain,label,4.904761904761905,3.0,0.8590886155176638,-0.26616886752548696
chain_pic_11.jpg,chain_pic_neither,chain,neither,4.083333333333333,2.8,-0.2172094229883514,-0.4515985575287294
chain_pic_3.jpg,chain_pic_both,chain,both,5.0,3.2,0.9838767938951722,-0.08073917752224452
chain_pic_9.jpg,chain_pic_sound,chain,sound,3.9523809523809526,4.15,-0.38879316825742555,0.8000518499931565
dog_pic_1.jpg,dog_pic_label,dog,label,4.761904761904762,2.1,0.6719063479513999,-1.1006024725400771
dog_pic_13.jpg,dog_pic_both,dog,both,4.619047619047619,4.05,0.4847240803851361,0.7073370049915348
dog_pic_15.jpg,dog_pic_neither,dog,neither,4.238095238095238,2.6,-0.01442863312489898,-0.6370282475319714
dog_pic_16.jpg,dog_pic_sound,dog,sound,4.416666666666667,3.2,0.21954920133293057,-0.08073917752224452
key_pic_2.jpg,key_pic_neither,key,neither,4.904761904761905,3.45,0.8590886155176638,0.15104793498180832
key_pic_3.jpg,key_pic_both,key,both,4.761904761904762,4.85,0.6719063479513999,1.4490557650045037
key_pic_4.jpg,key_pic_label,key,label,4.523809523809524,2.4,0.3599359020076276,-0.8224579375352139
key_pic_5.jpg,key_pic_sound,key,sound,3.0952380952380953,3.35,-1.511886773655006,0.0583330899801871
scissors_pic_2.jpg,scissors_pic_label,scissors,label,4.9523809523809526,2.5,0.921482704706418,-0.7297430925335927
scissors_pic_3.jpg,scissors_pic_sound,scissors,sound,3.9523809523809526,4.25,-0.38879316825742555,0.8927666949947772
scissors_pic_4.jpg,scissors_pic_both,scissors,both,4.095238095238095,4.4,-0.20161090069116286,1.0318389624972093
scissors_pic_7.jpg,scissors_pic_neither,scissors,neither,2.6666666666666665,1.8,-2.0734335763537963,-1.3787470075449406
